order_item_id,order_id,product_id,quantity,unit_price
303,169,76,4,197.23
304,35,77,5,386.3
305,200,25,1,24.71
306,193,57,2,115.03
307,94,66,4,200.98
308,119,60,5,19.01
309,136,63,2,390.7
310,165,54,5,474.48
311,100,30,4,228.84
312,139,99,3,31.32
313,143,18,2,104.94
314,181,62,3,310.15
315,44,80,3,445.41
316,127,69,3,196.29
317,44,92,5,158.22
318,137,31,5,147.48
319,184,17,1,356.46
320,175,98,2,301.99
321,70,31,1,79.56
322,53,77,3,148.07
323,180,80,2,456.29
324,156,70,4,243.07
325,78,76,2,374.89
326,44,89,5,106.33
327,46,6,1,485.26
328,82,84,3,100.73
329,176,80,4,320.17
330,117,89,5,52.74
331,103,12,4,388.47
332,164,26,5,366.1
333,117,93,2,433.99
334,72,85,1,431.97
335,124,32,2,19.46
336,189,53,1,139.08
337,75,98,5,272.57
338,55,66,3,459.47
339,135,26,1,369.41
340,96,67,5,100.21
341,158,34,1,214.77
342,166,70,3,82.58
343,11,66,1,473.64
344,59,15,5,460.63
345,178,61,4,54.35
346,180,4,3,151.67
347,14,75,1,368.76
348,99,18,2,129.68
349,50,4,2,419.73
350,122,48,1,362.69
351,162,17,3,186.73
352,76,11,3,303.78
353,2,2,5,13.62
354,1,60,1,123.14
355,180,78,2,32.04
356,166,53,3,476.15
357,198,85,3,284.55
358,199,32,1,376.25
359,165,78,4,476.12
360,109,95,4,15.68
361,17,11,5,151.14
362,193,83,2,218.84
363,123,66,1,499.47
364,163,89,2,434.19
365,46,29,1,49.58
366,197,71,4,163.24
367,128,72,4,46.27
368,18,31,2,79.34
369,102,100,2,266.1
370,166,38,1,144.38
371,52,66,3,347.7
372,179,18,1,271.1
373,163,49,5,431.66
374,183,14,1,483.21
375,145,94,5,453.93
376,77,2,1,54.17
377,140,86,1,241.0
378,73,14,4,465.94
379,159,33,2,95.09
380,53,90,1,109.71
381,164,77,3,354.16
382,56,3,4,245.98
383,140,18,1,278.64
384,63,97,2,88.26
385,54,24,4,151.04
386,77,79,5,395.86
387,46,92,4,40.04
388,52,11,1,251.93
389,47,64,3,124.29
390,72,16,5,494.7
391,70,7,3,182.02
392,55,100,4,37.75
393,70,83,4,492.73
394,71,74,2,81.99
395,113,67,2,294.87
396,187,60,5,336.21
397,198,9,2,300.42
398,108,16,1,179.97
399,179,40,2,342.04
400,66,98,4,170.32
401,181,6,5,498.96
402,162,87,1,45.33
403,105,84,1,60.81
404,44,74,3,357.74
405,60,3,3,395.12
406,125,16,4,15.56
407,145,92,5,51.16
408,182,32,5,33.31
409,162,77,4,233.45
410,109,21,4,128.1
411,53,96,1,479.62
412,48,29,1,169.45
413,64,41,5,359.02
414,110,32,5,209.05
415,146,27,5,157.76
416,149,81,2,50.3
417,179,100,4,306.99
418,137,43,4,60.99
419,89,40,1,352.86
420,144,38,3,57.16
421,92,65,3,235.24
422,6,47,4,274.52
423,149,87,4,39.19
424,132,21,3,466.89
425,10,25,4,336.93
426,164,56,1,428.15
427,180,25,1,295.19
428,3,94,4,17.27
429,4,52,4,100.41
430,7,87,5,464.54
431,43,21,1,148.64
432,7,32,1,28.91
433,158,20,4,426.57
434,183,85,4,161.13
435,75,80,5,273.9
436,105,60,4,57.96
437,73,17,4,182.3
438,23,82,3,309.2
439,159,98,3,55.77
440,123,57,2,453.95
441,94,8,1,370.46
442,175,11,1,30.45
443,59,81,2,456.69
444,92,100,4,300.23
445,82,21,4,286.17
446,77,31,3,37.7
447,86,45,5,399.01
448,101,25,1,466.59
449,20,98,1,386.66
450,178,9,3,263.15
451,94,88,2,277.49
452,108,78,1,245.41
453,177,60,3,222.71
454,43,13,3,134.08
455,184,15,5,65.88
456,21,5,4,464.2
457,108,56,3,305.74
458,48,90,5,341.83
459,90,65,2,250.48
460,179,4,2,156.75
461,114,67,4,173.78
462,119,45,3,135.42
463,32,87,2,411.1
464,170,91,4,465.5
465,47,80,4,31.91
466,120,63,4,465.03
467,169,72,3,314.04
468,199,52,5,232.44
469,136,59,4,265.02
470,135,26,1,331.3
471,190,92,1,338.49
472,108,29,3,116.13
473,179,9,3,134.45
474,101,16,2,76.51
475,70,94,5,453.39
476,15,35,4,252.72
477,112,93,3,496.84
478,15,2,4,173.75
479,177,2,4,183.11
480,110,29,2,172.74
481,190,8,3,278.47
482,162,100,3,358.92
483,126,82,4,133.4
484,5,62,2,320.28
485,51,9,3,132.27
486,1,16,4,222.54
487,88,72,2,42.65
488,46,29,1,307.16
489,123,65,4,357.1
490,45,64,5,194.16
491,114,20,3,144.98
492,176,1,5,148.9
493,196,25,3,483.07
494,111,82,4,487.44
495,11,26,4,421.26
496,167,97,3,270.32
497,132,80,1,487.14
498,48,81,5,13.05
499,34,16,3,167.56
500,162,53,1,208.82
